Cflo_N_g1t1	CFLO11562
Cflo_N_g3t1	CFLO12066
Cflo_N_g6t1	CFLO12045
Cflo_N_g7t1	CFLO13632
Cflo_N_g8t1	CFLO11879
Cflo_N_g9t1	CFLO11578
Cflo_N_g10t1	CFLO13625
Cflo_N_g11t1	CFLO13626
Cflo_N_g12t1	CFLO11951
Cflo_N_g13t1	CFLO25685
Cflo_N_g14t1	CFLO22497
Cflo_N_g15t1	CFLO11090
Cflo_N_g16t1	CFLO22498
Cflo_N_g17t1	CFLO22496
Cflo_N_g18t1	CFLO24810
Cflo_N_g19t1	CFLO11891
Cflo_N_g20t1	CFLO25224
Cflo_N_g21t1	CFLO13262
Cflo_N_g22t1	CFLO13262
Cflo_N_g23t1	CFLO13263
Cflo_N_g24t1	CFLO13261
Cflo_N_g25t1	CFLO13264
Cflo_N_g26t1	CFLO13260
Cflo_N_g26t2	CFLO13260
Cflo_N_g28t1	CFLO13265
Cflo_N_g29t1	CFLO13267
Cflo_N_g30t1	CFLO13268
Cflo_N_g31t1	CFLO13269
Cflo_N_g32t1	CFLO13258
Cflo_N_g32t2	CFLO13258
Cflo_N_g32t3	CFLO13258
Cflo_N_g32t4	CFLO13258
Cflo_N_g33t1	CFLO13270
Cflo_N_g34t1	CFLO13256
Cflo_N_g35t1	CFLO13271
Cflo_N_g36t1	CFLO13255
Cflo_N_g37t1	CFLO10689
Cflo_N_g39t1	CFLO11434
Cflo_N_g40t1	CFLO19217
Cflo_N_g41t1	CFLO19217
Cflo_N_g42t1	CFLO19219
Cflo_N_g43t1	CFLO19222
Cflo_N_g44t1	CFLO19216
Cflo_N_g45t1	CFLO22429
Cflo_N_g46t1	CFLO10515
Cflo_N_g47t1	CFLO21349
Cflo_N_g48t1	CFLO21348
Cflo_N_g49t1	CFLO21348
Cflo_N_g50t1	CFLO21348
Cflo_N_g51t1	CFLO21350
Cflo_N_g52t1	CFLO24149
Cflo_N_g53t1	CFLO24862
Cflo_N_g54t1	CFLO21351
Cflo_N_g55t1	CFLO21352
Cflo_N_g56t1	CFLO21347
Cflo_N_g57t1	CFLO21353
Cflo_N_g58t1	CFLO22261
Cflo_N_g59t1	CFLO19307
Cflo_N_g59t2	CFLO19307
Cflo_N_g59t3	CFLO19307
Cflo_N_g60t1	CFLO19309
Cflo_N_g60t2	CFLO19309
Cflo_N_g61t1	CFLO19306
Cflo_N_g62t1	CFLO11381
Cflo_N_g63t1	CFLO11381
Cflo_N_g64t1	CFLO11381
Cflo_N_g65t1	CFLO11381
Cflo_N_g66t1	CFLO11381
Cflo_N_g67t1	CFLO25747
Cflo_N_g68t1	CFLO25874
Cflo_N_g69t1	CFLO11126
Cflo_N_g70t1	CFLO15971
Cflo_N_g71t1	CFLO19233
Cflo_N_g71t2	CFLO19233
Cflo_N_g72t1	CFLO19234
Cflo_N_g72t2	CFLO19234
Cflo_N_g72t3	CFLO19234
Cflo_N_g72t4	CFLO19234
Cflo_N_g73t1	CFLO19235
Cflo_N_g73t2	CFLO19235
Cflo_N_g73t3	CFLO19235
Cflo_N_g74t1	CFLO23416
Cflo_N_g75t1	CFLO23415
Cflo_N_g76t1	CFLO12423
Cflo_N_g77t1	CFLO12423
Cflo_N_g78t1	CFLO23413
Cflo_N_g79t1	CFLO23417
Cflo_N_g79t2	CFLO23417
Cflo_N_g80t1	CFLO23417
Cflo_N_g81t1	CFLO23412
Cflo_N_g82t1	CFLO15149
Cflo_N_g83t1	CFLO23411
Cflo_N_g83t2	CFLO23411
Cflo_N_g83t3	CFLO23411
Cflo_N_g84t1	CFLO23135
Cflo_N_g85t1	CFLO23134
