GLEAN_00001	TC000001
GLEAN_00002	TC000002
GLEAN_00003	TC000003
GLEAN_00004	TC000004
GLEAN_00005	TC000005
GLEAN_00006	TC000006
GLEAN_00007	TC000007
GLEAN_00008	TC000008
GLEAN_00009	TC000009
GLEAN_00010	TC000010
GLEAN_00011	TC000011
GLEAN_00012	TC000012
GLEAN_00013	TC000013
GLEAN_00014	TC000014
GLEAN_00015	TC000015
GLEAN_00016	TC000016
GLEAN_00017	TC000017
GLEAN_00018	TC000018
GLEAN_00019	TC000019
GLEAN_00020	TC000020
GLEAN_00021	TC000021
GLEAN_00022	TC000022
GLEAN_00023	TC000023
GLEAN_00024	TC000024
GLEAN_00025	TC000025
GLEAN_00026	TC000026
GLEAN_00027	TC000027
GLEAN_00028	TC000028
GLEAN_00029	TC000029
GLEAN_00030	TC000030
GLEAN_00031	TC000031
GLEAN_00032	TC000032
GLEAN_00033	TC000033
GLEAN_00034	TC000034
GLEAN_00035	TC000035
GLEAN_00036	TC000036
GLEAN_00037	TC000037
GLEAN_00039	TC000039
GLEAN_00040	TC000040
GLEAN_00041	TC000041
GLEAN_00042	TC000042
GLEAN_00043	TC000043
GLEAN_00044	TC000044
GLEAN_00045	TC000045
GLEAN_00046	TC000046
GLEAN_00047	TC000047
GLEAN_00048	TC000048
GLEAN_00049	TC000049
GLEAN_00050	TC000050
GLEAN_00051	TC000051
GLEAN_00052	TC000052
GLEAN_00053	TC000053
GLEAN_00054	TC000054
GLEAN_00055	TC000055
GLEAN_00056	TC000056
GLEAN_00057	TC000057
GLEAN_00058	TC000058
GLEAN_00059	TC000059
GLEAN_00060	TC000060
GLEAN_00061	TC000061
GLEAN_00062	TC000062
GLEAN_00063	TC000063
GLEAN_00064	TC000064
GLEAN_00065	TC000065
GLEAN_00066	TC000066
GLEAN_00067	TC000067
GLEAN_00068	TC000068
GLEAN_00069	TC000069
GLEAN_00070	TC000070
GLEAN_00071	TC000071
GLEAN_00072	TC000072
GLEAN_00073	TC000073
GLEAN_00074	TC000074
GLEAN_00075	TC000075
GLEAN_00076	TC000076
GLEAN_00077	TC000077
GLEAN_00078	TC000078
GLEAN_00079	TC000079
GLEAN_00080	TC000080
GLEAN_00081	TC000081
GLEAN_00082	TC000082
GLEAN_00083	TC000083
GLEAN_00084	TC000084-GA
GLEAN_00085	TC000085
GLEAN_00086	TC000086
GLEAN_00087	TC000087
GLEAN_00088	TC000088
GLEAN_00089	TC000089
GLEAN_00090	TC000090
GLEAN_00091	TC000091
GLEAN_00092	TC000092
GLEAN_00093	TC000093
GLEAN_00094	TC000094
GLEAN_00095	TC000095
GLEAN_00096	TC000096
GLEAN_00097	TC000097
GLEAN_00098	TC000098
GLEAN_00099	TC000099
GLEAN_00100	TC000100
GLEAN_00101	TC000101
GLEAN_00102	TC000102
GLEAN_00103	TC000103
