Px016979	XP_011566912.1
Px016980	XP_011566913.1
Px002185	XP_011567888.1
Px006321	XP_011559234.1
Px006322	XP_011559234.1
Px006324	XP_011559235.1
Px006325	XP_011559208.1
Px006326	XP_011559209.1
Px006327	XP_011559236.1
Px006328	XP_011559211.1
Px006329	XP_011559237.1
Px006330	XP_011559212.1
Px006331	XP_011559214.1
Px006332	XP_011559215.1
Px006333	XP_011559238.1
Px006334	XP_011559217.1
Px006335	XP_011559218.1
Px006336	XP_011559219.1
Px006338	XP_011559220.1
Px006339	XP_011559241.1
Px006340	XP_011559242.1
Px006341	XP_011559243.1
Px006343	XP_011559221.1
Px006344	XP_011559244.1
Px006345	XP_011559227.1
Px006346	XP_011559229.1
Px006347	XP_011559233.1
Px006348	XP_011559245.1
Px015036	XP_011565594.1
Px015037	XP_011565585.1
Px015038	XP_011565593.1
Px015039	XP_011565595.1
Px013809	XP_011565173.1
Px013810	XP_011565178.1
Px013811	XP_011565179.1
Px013812	XP_011565174.1
Px013813	XP_011565176.1
Px002471	XP_011556413.1
Px002473	XP_011556414.1
Px002475	XP_011556415.1
Px002476	XP_011556415.1
Px002477	XP_011556396.1
Px002478	XP_011556650.1
Px002479	XP_011556416.1
Px002480	XP_011556397.1
Px002481	XP_011550252.1
Px002482	XP_011556398.1
Px002483	XP_011559915.1
Px002484	XP_011548721.1
Px002485	XP_011556418.1
Px002486	XP_011556403.1
Px002487	XP_011556404.1
Px002488	XP_011556419.1
Px002489	XP_011561604.1
Px002490	XP_011556406.1
Px002491	XP_011556421.1
Px002492	XP_011548555.1
Px002493	XP_011556423.1
Px002494	XP_011556424.1
Px002495	XP_011556407.1
Px002496	XP_011556408.1
Px002497	XP_011556425.1
Px002498	XP_011556426.1
Px002500	XP_011556428.1
Px002501	XP_011556430.1
Px002503	XP_011556412.1
Px002505	XP_011556432.1
Px001060	XP_011567673.1
Px001061	XP_011556435.1
Px018075	XP_011567346.1
Px018076	XP_011567347.1
Px018080	XP_011567349.1
Px014700	XP_011565794.1
Px014701	XP_011565795.1
Px014702	XP_011565796.1
Px014703	XP_011565797.1
Px014704	XP_011565798.1
Px014705	XP_011565800.1
Px002353	XP_011558905.1
Px002355	XP_011555141.1
Px002356	XP_011555112.1
Px002357	XP_011555113.1
Px002358	XP_011555114.1
Px002359	XP_011557959.1
Px002360	XP_011555142.1
Px002361	XP_011555143.1
Px002362	XP_011555117.1
Px002364	XP_011555119.1
Px002365	XP_011555119.1
Px002366	XP_011555120.1
Px002367	XP_011555146.1
Px002368	XP_011555147.1
Px002369	XP_011555122.1
Px002370	XP_011555123.1
Px002373	XP_011555124.1
Px002374	XP_011555149.1
Px002375	XP_011555125.1
Px002376	XP_011555127.1
Px002377	XP_011555129.1
Px002378	XP_011555134.1
Px002379	XP_011555133.1
Px002380	XP_011555132.1
Px002381	XP_011555131.1
Px002382	XP_011555130.1
Px002383	XP_011555135.1
Px002384	XP_011555136.1
Px002385	XP_011555138.1
Px016550	XP_011565242.1
Px016551	XP_011565249.1
Px016552	XP_011565244.1
Px016553	XP_011565420.1
Px016554	XP_011565418.1
Px016557	XP_011565250.1
Px007548	XP_011559696.1
Px007549	XP_011559697.1
Px007550	XP_011559698.1
Px007551	XP_011559699.1
Px007552	XP_011559710.1
Px007553	XP_011559710.1
Px007554	XP_011559712.1
Px007555	XP_011559713.1
Px007556	XP_011559714.1
Px007557	XP_011559700.1
Px007558	XP_011566910.1
Px007559	XP_011559717.1
Px007560	XP_011559717.1
Px007561	XP_011559705.1
Px007562	XP_011559719.1
Px007563	XP_011559720.1
Px007564	XP_011559707.1
Px007565	XP_011559709.1
Px010158	XP_011559731.1
Px010160	XP_011559732.1
Px010161	XP_011559721.1
Px010162	XP_011559723.1
Px010163	XP_011559724.1
Px010164	XP_011559725.1
Px010165	XP_011559727.1
Px010166	XP_011559728.1
Px010167	XP_011559729.1
Px010168	XP_011566034.1
Px010169	XP_011560406.1
Px010170	XP_011559734.1
Px009736	XP_011561634.1
Px009737	XP_011561636.1
Px009738	XP_011561637.1
Px009739	XP_011560408.1
Px009741	XP_011561638.1
Px009742	XP_011556839.1
Px009744	XP_011563212.1
Px009745	XP_011562202.1
Px017043	XP_011566922.1
Px017044	XP_011558720.1
Px017045	XP_011566923.1
Px017046	XP_011560406.1
Px000434	XP_011567398.1
Px017712	XP_011567226.1
Px017713	XP_011567227.1
Px017714	XP_011567231.1
Px017715	XP_011567232.1
Px017716	XP_011567233.1
Px017718	XP_011567234.1
Px017719	XP_011567235.1
Px017720	XP_011566299.1
Px017722	XP_011567236.1
Px015995	XP_011566241.1
Px013490	XP_011564894.1
Px013491	XP_011564896.1
Px013492	XP_011564898.1
Px013493	XP_011564899.1
Px013494	XP_011564900.1
Px013495	XP_011564893.1
Px013496	XP_011564900.1
Px013497	XP_011565170.1
Px007767	XP_011560406.1
Px007769	XP_011560486.1
Px007770	XP_011561635.1
Px007771	XP_011560476.1
Px007772	XP_011560477.1
Px007773	XP_011560478.1
Px007774	XP_011560480.1
Px007775	XP_011556484.1
Px007776	XP_011560483.1
Px007777	XP_011556681.1
Px007778	XP_011560489.1
Px012760	XP_011564483.1
Px012761	XP_011564499.1
Px012762	XP_011564502.1
Px012763	XP_011564487.1
Px012764	XP_011564492.1
Px012765	XP_011566077.1
Px012766	XP_011564495.1
Px012767	XP_011564503.1
Px012768	XP_011564503.1
Px000270	XP_011554266.1
Px000271	XP_011554228.1
Px000273	XP_011554268.1
Px000274	XP_011554268.1
Px000275	XP_011554231.1
Px000276	XP_011554269.1
Px000277	XP_011554232.1
Px000279	XP_011554233.1
Px000280	XP_011554270.1
Px000281	XP_011556494.1
Px000282	XP_011558917.1
Px000283	XP_011554272.1
Px000284	XP_011556494.1
Px000287	XP_011549739.1
Px000288	XP_011554276.1
Px000289	XP_011554276.1
