BGIBMGA008184	XP_012543771.1
BGIBMGA012759	XP_004929120.1
BGIBMGA010799	XP_012551676.1
BGIBMGA006739	XP_004930411.1
BGIBMGA009247	XP_004922633.1
BGIBMGA014584	XP_004933313.1
BGIBMGA011311	XP_012549826.1
BGIBMGA000523	XP_004929890.1
BGIBMGA014374	XP_012543972.1
BGIBMGA008391	XP_004928165.1
BGIBMGA006483	XP_004930651.1
BGIBMGA014473	XP_004933673.1
BGIBMGA013605	XP_012545063.1
BGIBMGA011738	XP_012550386.1
BGIBMGA002548	NP_001036835.1
BGIBMGA007956	XP_012547950.1
BGIBMGA009465	XP_004922860.1
BGIBMGA014098	XP_012552341.1
BGIBMGA001435	XP_012548778.1
BGIBMGA001242	XP_012547386.1
BGIBMGA003433	XP_004923056.1
BGIBMGA009359	XP_012543842.1
BGIBMGA001302	NP_001091762.1
BGIBMGA009027	NP_001243953.1
BGIBMGA005155	XP_004921850.1
BGIBMGA014110	XP_004925176.1
BGIBMGA011405	XP_012549791.1
BGIBMGA013173	XP_012552303.1
BGIBMGA010384	XP_012548531.1
BGIBMGA002953	XP_004931019.1
BGIBMGA012904	XP_004928841.1
BGIBMGA004039	XP_004922388.1
BGIBMGA002518	XP_012550225.1
BGIBMGA014337	NP_001182394.1
BGIBMGA004727	XP_012546581.1
BGIBMGA001678	XP_012547344.1
BGIBMGA004527	XP_012545723.1
BGIBMGA006147	XP_012548351.1
BGIBMGA007750	XP_004928480.1
BGIBMGA007228	NP_001124343.1
BGIBMGA003751	XP_012549158.1
BGIBMGA007718	XP_004928749.1
BGIBMGA007206	XP_004925070.1
BGIBMGA008506	XP_012547656.1
BGIBMGA009248	XP_004922632.1
BGIBMGA006845	XP_012544675.1
BGIBMGA003028	NP_001040204.1
BGIBMGA008549	XP_012547499.1
BGIBMGA013448	NP_001040421.1
BGIBMGA010743	XP_004933100.2
BGIBMGA011573	NP_001040250.1
BGIBMGA008216	XP_012546375.1
BGIBMGA008021	XP_012552745.1
BGIBMGA008870	XP_004931793.1
BGIBMGA000741	XP_012548995.1
BGIBMGA003934	XP_012546042.1
BGIBMGA002156	NP_001037446.1
BGIBMGA005101	NP_001037329.1
BGIBMGA001893	XP_004933408.1
BGIBMGA011084	XP_012553339.1
BGIBMGA001272	XP_004928104.2
BGIBMGA005461	XP_012550924.1
BGIBMGA006993	XP_012551294.1
BGIBMGA009063	XP_004924411.1
